activity,locations_with_alcohol,locations_to_avoid,locations_with_past_drinking,locations_with_mixed_emotions,locations_with_pleasant_emotions_risk,locations_with_unpleasant_emotions_risk,locations_that_are_risky,aa_protective,friends_protective,healthcare_protective,time_at_home_protective,restaurants,time_at_work,future_efficacy_motivation,abstinence_goal,craving,past_risky_situations,future_risky_situations,past_stressors_or_hassles,future_stressors_or_hassles,highly_pleasant_events_risk_factor,average_pleasant_events_protective,past_use,activated_negative_affect_angry,deactivated_negative_affect_depressed,evenings_out,day_of_week,location_variance_risk,,notes,type,source
craving_log.qmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,worksheet,cbt coping skills
craving_plan.qmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exercise,cbt coping skills
craving_triggers.qmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exercise,cbt coping skills
grounding.qmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,after mindfulness_reading.qmd,exercise,SST
mindful_breathing.qmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,after mindfulness_reading.qmd,exercise,SST
mindfulness_reading.qmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psychoed reading,SST
noticing_walk.qmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,after mindfulness_reading.qmd,exercise,SST
psychoed_abstinence_goal.qmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psychoed reading,
psychoed_craving.qmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psychoed reading,
psychoed_future_efficacy.qmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psychoed reading,
psychoed_past_use.qmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psychoed reading,
psychoed_physical_health.qmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psychoed reading,
psychoed_pleasant_event.qmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psychoed reading,
psychoed_relationships.qmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psychoed reading,
psychoed_risky_situation.qmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psychoed reading,
psychoed_loc_variance.qmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psychoed reading,
psychoed_stressful_event.qmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psychoed reading,
psychoed_support_seeking.qmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psychoed reading,
psychoed_valence_arousal.qmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psychoed reading,
recovery_checklist.qmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Give earlier on (could be first activity regardless of top feature),worksheet,matrix
recovery_planning.qmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,worksheet,matrix
relapse_analysis_1.qmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,worksheet,matrix
relapse_analysis_2.qmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,after relapse_analysis_1.qmd,worksheet,matrix
scheduling_reading.qmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psychoed reading,matrix
scheduling_worksheet.qmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,after scheduling_reading.qmd,worksheet,matrix
self_talk.qmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exercise,cbt coping skills
thought_stopping_1.qmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,after trigger_thought_craving_reading.qmd,worksheet,matrix
thought_stopping_2.qmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,after thought_stopping_1.qmd,worksheet,matrix
three_conscious_breaths.qmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,after mindfulness_reading.qmd,exercise,SST
tracking_progress.qmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,worksheet,matrix
trigger_behavior_record.qmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,worksheet,cbt coping skills
trigger_thought_craving_reading.qmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psychoed reading,matrix
triggers.qmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exercise,matrix
urge_surfing.qmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reading and reflection,cbt coping skills
